Ranking,Nome,Plataforma,Ano,Gênero,Empresa_Jogos,Vendas_NA,Vendas_EU,Vendas_JP,Outras_Vendas,Vendas_Globais
22,Super Mario Land,Game Boy,1989,Plataforma,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,NES,1988,Plataforma,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,Xbox 360,2013,Ação,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,PlayStation 2,2002,Ação,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,Game Boy Advance,2002,RPG,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,Nintendo DS,2010,RPG,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,Nintendo DS,2005,Quebra-cabeça,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,PlayStation 2,2001,Corrida,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,Xbox 360,2011,Tiro,Activision,9.03,4.28,0.13,1.32,14.76
32,Call of Duty: Black Ops,Xbox 360,2010,Tiro,Activision,9.67,3.73,0.11,1.13,14.64
31,Pokémon Yellow: Special Pikachu Edition,Game Boy,1998,RPG,Nintendo,5.89,5.04,3.12,0.59,14.64
33,Pokemon X/Pokemon Y,Nintendo 3DS,2013,RPG,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,PlayStation 4,2015,Tiro,Activision,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,PlayStation 3,2012,Tiro,Activision,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,Xbox 360,2012,Tiro,Activision,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,Xbox 360,2009,Tiro,Activision,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,PlayStation 3,2011,Tiro,Activision,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,PlayStation 2,2001,Ação,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,Nintendo Wii,2008,Luta,Nintendo,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,PlayStation 3,2010,Tiro,Activision,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,Nintendo DS,2005,Simulação,Nintendo,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,Nintendo 3DS,2011,Corrida,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo 3,Xbox 360,2007,Tiro,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,PlayStation 4,2014,Ação,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,Nintendo DS,2009,Ação,Nintendo,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,Nintendo 64,1996,Plataforma,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,PlayStation 2,2004,Corrida,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,Nintendo Wii,2007,Plataforma,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo 3DS,2014,RPG,Nintendo,4.23,3.37,3.08,0.65,11.33
